EncryptedText,Shift
"owdhRJdpICKaNOfGsSM,hpwaKCw",8
qjQagPIZuJSS,12
"XkdMCqGtKInnqF jsJe,",7
"PmSQoJDILgnDqMDa,FcIGeZTYBwdTgCTq,16",19
"F ziWvxVeQPPJ,U oxLkmKtFEEY,15",23
"nXmPTah,iShKOvc,2",5
"fWeqcdVDbyZw,r",16
"uUkfUNVDC,jJzuJ",6
"WsHrnKbQrFHGDsidZ,PlAkgDu",3
"mCjffauIhjAmIE,nDkgg",4
GmTTACIYijt,12
zYerbjqTdVnOqlaNA Q,6
"tYKeeUn,qVHbbRk",25
"Hgplr,Jirnt,2",7
"JvhQsxPje,CoaJlqIcx,19",25
"xUqdiJSlvmEfVgmzNC,mJfsxYHakbTuKvboCR",15
"sFpEyejE,fScRlrwR,13",23
"NKYUiFLNtc ,AXLHvSYAgp ,13",4
"yIITDVKneQzY mtq,pZZKUMBevH",8
"hGHOKqcMqifk,yXYFBhtDhzwb,",25
"bRNFH ,gWSKM ,5",10
"KNdRGeRzfiVKNGzvpKqM,BEuIXvIqwzMBEXqmgBhD,17",9
"lbNnRmwMdbCWPxYEXmWX,qgSsWrbRigHBUcDJCrBC,",4
"GFJFkqhdT,KJNJoulhX,4",1
"XDfhWAlBReqGe,IOqsHLwMCpbR",4
"FbxmPKuYi,AwshKFpTd,21",10
"uGcJtqHmt,qC",5
"isIuVziBsRFUmia,wgWiJnwPgFTIaw",1
"MEKka,FXDdt,19",19
"mpKbVYgyIgnEY,zcXoILtlVt",15
OSTm pMEvG P,18
"RdIEpjWEphavfamDyJHa,Tf",14
"XkkANok VcALdQdDxB,ObbREfb MtRCuHuUoS,17",6
"DOZhchva,EPAidiwb,1",9
"CSSfElkb,PFFsRyxo,13",4
"UrIyZZQ,VsJzAAR,1",9
"qpixADBDzkPqNtQQkK,kjcrUXVXteJkHnKKeE,20",12
"bsCyYVirkhu iGQeKCUo,",18
"HnkLGnFgvzpOKjpTaTU,QwtUPwOpeiyXTsyCjCD,",12
"JvnuuoTgnDB yvgffUS,",7
"eGIsvj,bDFpsg,23",9
"VCGSzKeb,SZDPwHby,23",21
"wbVjRQqZKMT USsFFd,",19
"MdLnoIjucEKbHpTzkf,YpXzaUvg",11
"EcUueyjiQvEExp,UsKkuozyG",25
"ZqjOsDFGOPRo,TkdImXZAI",4
"UtNLYEdHIgvLt,CbVTGMlPQodTb,8",6
"CmFsjXPQ,GqJwn",16
eFAQcBeAzd,8
"GrTYVIOZXh,HsUZWJPAYi,1",1
"ynxtFWbXxoODW,hwgcOFkGgxXMF,9",4
"EEQfavqCNXhcBXA,BBNcxsnZKUezYUX,23",14
"uZBXgIHwbM,nSUQzBApuF,19",1
"GbEnVyjqvi,HcFoWzkrwj,1",24
"dLBBFkbqCyYaIQbbZNs,gOEEInetFbBdLTeeCQv,3",21
"bfjPhWNNxbFij,vzdJbQHHrvZ",7
"LVZDQeWHBYMe,ISWANbTEYVJb,23",7
"pOmCjVsXIQbsGeI,kJhXeQnSDLwnBzD,21",19
"fGIpcW iexT,q",19
"ZDYffXGkyVkxaq Wu,BFAhhZImaXmzcs Yw",20
"NjiXnBKMQjjw,FbaPfTCEIbbo,18",22
"zEgteM,eJlyjR,5",21
"NjmJb,PloLd,2",1
"dLIYXlgNEvwAvcI,",5
"KsLuog JFAld,W",24
qZRqxYdhoCWRaWqlJ,2
"bZjuB,zXhsZ,24",24
"RFwSip,HVmIyf,16",15
"YJRGYnvVtq,ZKSHZowWur,1",4
"PjeeWUFCnhFw,VpkkCALItnLc,6",20
"eTrvzycSF Ia,rGe",2
"ZpRePoA,VlNaLkW,22",4
"nFBYToMtqzeO,uMIF",22
"jhFFitsBMFQHcimFCKyn,kiGGjut",16
CGHMkRQrVzqJ,21
"ljgSiUfQ W,mkhTjVgR X,1",21
"nIAgbi,zUMsnu,12",8
"CXYhnLPsbekNGkKgAmX,NIJsyWAdmp",5
"tuBpVFtYYzV,opWkQAoTTuQ,21",7
"JIeixrmyUagQZJerc,MLhlaupbXdjTCMhuf,3",8
"FqCrlg wqu,OzLaup fzd,9",25
"HqEIsoLk  iJMQldikrj,Ra",18
"UVtjPziuBux tPa,LM",23
"sQ yTJvAVrsxDlTmuli,zX",5
"vRWElIFYbPDrf,mINVcZWPsGU",6
uFtPihtKqxE,10
"ydz XXC,uzv TTY,22",21
meHMwkEnWrGasboIotI,18
TVXypurRivTqF,11
"PJFywCQvqsnmvEvqRuXO,BVRkiOCh",11
"VymmzIbJtT, ZcqqdMf",16
"TYEnksdyVPY, YDJspxidAUD,",6
"IposmfZxvEWTXppz RY,MtswqjDb",5
"eEalJfDT,iIepNjHX,4",13
ntqklUuueu,6
GJBQfbpBCuHhUUsr,16
"CKwoCGUGaw,FNzrFJXJdz,3",10
fdDajOc ZcnK ,23
"BCUyPmYe,PQImDaMs,14",19
"abLxSictXOd XSiSG,ijTfAqkbFWl FAqAO,8",7
"ziDmecmr,irMvnlva,9",25
"lifpwuBc,rol",22
"VeDIOi VeFhNfmYRjGDr,PyXC",21
"OrioCeZGnCluA,ZctzNpKRyNwfL,11",2
"ERTaMfirXxyNiIIE,KXZgSloxDdeTo",13
"afOMtRxqJHxmWeJNVL,joXVcAgzSQ",17
"UJkbFZplJGEOHs,ZOpgKEuqOLJTMx,5",4
"QRyopvZiusblZMXNvl,STaqrxBkwudnBOZPxn,2",3
"ScBamg,LvUtfz,19",22
"weMIOACwiwIawy,nvDZFRTnznZrnp,17",3
"lnpax,moqby,1",22
"CPaMjjeZBo,IVgSppk",15
"zXXsaDZPjqSFMgzYmzXG,lJJemPLBvcERY",15
"wmsRNyaFtd,euaZVg",12
"wYhuGAKPZlE,tVerDXHMWiB,23",6
"cAwcy,jHdjf,7",6
"ICNTY ,XRCIN ,15",22
"KGcWFGPAreNA,ZVrLUVEPgtCP,15",7
"QPXEbZU,ONVCzXS,24",19
"abfrGuwcLcXIxxIt iG,vwamBprxGxSDssDo dB,21",17
"SajPMobdLqtCQ,ZhqWTvikSxaJX,7",18
"XnqSEDmguGmaQpMtn,AqtVHGpjxJpdTsPwq,3",4
"eTwVUiEdL LUAoNQ,jYbAZnJiQ QZFtSV,",24
"sYPVw,xDUAb,5",8
"CWRolmJvgHtWfLkWDD,NHCzwxUgrSeHqWv",4
"TXnrht,CGwaqc,9",7
"vbtrXSMG p,bhzx",12
"LJZnXxLbkGwGSbf,XVLz",9
"BvDDAjSy,GaIIFoXd,5",22
"wtKPICy HMjz,zw",6
"kbTMETAEbPIt,hyQJ",8
KyrMUhGDaz,10
"gVibRscKIMcOkqIJ,eTg",25
"HgIaOiRFHikG,LkMeSmVJLmoK,4",10
"JTumdRSeZa,KUvneSTfAb,",25
"wJlfC,oBdxU,18",16
"toCjcT,kfTatK,17",22
Eam  NNNIOXTiwl,15
"Tohyt,Nibsn,20",4
"jSLocOZOU,iRKnbNYNT,25",15
"dqHTIO ,mzQCRX ,9",4
"agFHmkiZE,lrQSxvtKP,11",15
"kYvypXdbG,hVsvmUayD,23",16
IKixPdugve,6
"ywDDMpGsIBDKVJtDhY,geLLUxOaQ",17
atkgbLJYar,24
"wTqeSXRGP,dAxlZEYNW,7",1
"RoXWTMIU W,GdMLIBXJ L,15",2
"WqblfNwNPpxxIBEI,SmxhbJsJLlt",25
KbjLXOefkyCRqvKG,9
"jZIjUSNpVe,s",23
"baoJnClOoL,kjxSwLuXxU,9",10
"ysOaDGhqlBUsKVE,icYkNQ",12
"XMyoYuVwX,KZlbLhI",17
"DNYwywtoGcoZFaTnosM,",24
"t XILCNbFLV,o SDGXIwAGQ,21",8
"GdLSwdNHhduGZsXf,DaIPtaKEearDWpUc,23",1
"sAWTYOuEXprCBP,mUQNSIo",13
"CJbqsUpf,YFxmoQlb,22",5
POBcsqNILAI qYFJvP,8
"YsncTrjKaHeIvvOd,WqlaRphIyFcGttMb,2",11
"dwMXLqNolShBohf,wpFQEjGheLaUhay,19",24
"gWNIjIXVpNTme,vLCXyXMKeCIbt,15",1
"bHxKxXEkA,xDtGtTAgW,22",13
LAlfVieeCVhxQr,4
"epFNNnejK,grHPPpglM,",21
"HiAX VNlSgk,DeWT RJhOcg,22",22
"eiokJk,uyea",25
"yuZzumypFSNIS,dzEezrd",7
"rdUq suKql,wiZv xzPvq,5",17
"leXNlSwniAEiuWfwXTwU,q",25
"jmqQEpVbhUMne zcjj,zcgGUfLrx",1
"kvjkxUQ,lwklyVR,1",12
"yxaPEqpfrKsCBJXc,vuxMBnmco",15
"yFM viJ,dKR anO,5",22
"MvPlOKjfIhfiIMFICpq,XgAwZVuqTsqtTXQTNab,11",8
"mvm sqRHu,rar xvWMz,5",25
"WJuEIaPPKWasBqU,NAlVZrGGBNrjShL,17",22
"xspFuligGruky,faxNctqoOzcsg,8",21
"PDFhBmM,CQSuOzZ,13",3
"ZrMyBJJIUW,SkFrUCCBNP,19",4
"tEBSfkLoiXaiFcUCx, rCZQdiJmgVygDaSAv",14
"jS EqnfBXmrwcRIOCZSX,uD PbyqMIxchn",6
"jtFRFXhzcA,vfRDRJtloM,12",11
"IUqmZLTXjqtelrVnt,T",4
"ZOwsFYFvaNAz,MBjfSLSinANm,13",7
cQmRoMLdw GZx,21
"XGWczpWJUFRMfPpXr,IRHnkaHUFQCX",25
"rxZGfcZbFBSz,flNUtqNpTPGn,14",24
"qrkinZhPtejUxwl,ghaydPxFjuzKnmb,1",16
"iqwrKs uY, wekfYg iM,14",14
"MYzbiIzWzh,OAbdkKbYbj,",25
"XDSnpjzeXDi,TZOjlfvaTZe,22",22
"nUsSA,yFdDL,11",7
"mWDVjnbXtybgYPBU,jTASgk",2
"PdsKDCmINyw,QetLEDnJOzx,1",23
XkLZpHZaiM,13
"OybjcaD PMuKgZj,Hruc",18
"IrESDltqCgJFhL,FoBPAiqnZdGCeI",25
wNbEFOjzVd,5
"brtrTI,dtvtVK,2",6
"JUHPIepe ilDRqUn,DOBJCyjy cfXLkOh,20",1
"AFGGjtkfEVqMnnHBzgRU,RWXXakbwVMhDeeY",12
"lGuwm,kFtvl,25",2
uINXnjgTgYf,22
"drfqnU slaAHl,ocqbyF dw",15
"iLjsnvcJd,gJhq",1
"KmJnHeT hiuYmaksJa,OqNrLiX lmyCqeow",2
"AjHZjQkfSCKPUbb,IrPHrYsnAKSXCjj,8",10
"lVetVfLLXicrZrgIPRQ,pZix",16
"xuIBtdgfFeyxVNT,nkYRjtwvVuonL",24
"FvBpeGcSNvTNB,OeKynPlBWeCWK",10
EAZpZueDiRpvdh,18
"xIvjnlTmCy BVjtlXSbg,pAnbfdLeUq TNbldPKty,18",23
"zxR rxvAaESGznGk,nlF ",22
"lItcGncH,qNyhLshM,5",20
"DjYBnX,NtILxH,10",7
"CTEhaiOoUDBLjLFwri,NEPs",7
"rBZKVuZjA,b",3
"bUbTNByWHXQehSdmOh,fYfXRFcALBUi",7
"VkuppB rQHY,LakffR hG",6
"bWSjpKzjnv bNiJegn,xSOflG",24
"NNTlqtqNzbQL,EEKchkhEqsHC,1",9
"NtcpgLqNFHPExuD,VbkxoTyVNPXMfcL,8",13
"LEQRR ,KDPQQ ,25",17
"Ve iJnQRTKqOoIZIKlcG,Qz dEiLMOFlJjD",15
"ipZDgcOIzdkR LKN,fmWA",20
"aoAdhYjBxcrc,cqCfjA",20
"SBZKJBDM,VECNMEG",4
"LFVwoUSh,XRHiaGEt,",18
"GQiHbM IZrzcDxJiuRB,XHzYsD ZQiqtUoAz",25
"KrBFSZrjhBBuCN,JqAERYqigAAtBM,25",16
"LcfEkYp,FwzY",19
"zqGkunLwMYQztAIaM,ypFjtmK",18
"rzeRWJxgWoWF,bjoBGTh",9
"lYadLsjCGFQugFICjxU,zMorZgxQUTEiuT",25
"zsYdScBElgSrILJPNmAA,xqWbQaZCjeQpGJHNLkYY,24",22
"MZapQfm BZxZM,OBcrSho DBzBO,2",10
"UuzINjyIsrDDzQlW ,IinWBxmWgfRRnEzK ,14",11
"GZCyLqFktXZauuA,DWZvInChqUWxrrX,23",15
fWRcWuePZbV,7
"GHeMf,IJgOh,2",19
"wgDOzBFgYh,ueBMxZDe",15
lvxukHKEaojW,18
"lJ Oq,wU Zb,11",1
"IBWeGyKVuFpqAdtnni,PIDlNfRCbMwxHk",16
"bpJRQMCAGcoSkEMza,ocWEDZPNTpb",20
"vCDTDNZMMuhZJI,fMND",21
"gksaKuxtgqkZ,jnvdNxawjtnC,3",22
"kvrBbQzTDzLfHqPKSBJY,sdzJjYhBLhTnPyXSA",5
"qEVxlIQlAgwl,aOFhvSAvKqgv,10",25
"NmkjoJw,DcazeZm,16",21
"AgSuudPhqxGr,",13
"C rIbdiXSmPMiH,X mDwydSNhKHdC,21",6
"ciuEOSErQRC,pvhRBFReDEP,13",20
"UcVWnr E,VdWX",13
"tlYvQ nJxemP,nfSpK hDrygJ,20",4
otTmOyVcqsr,10
"DdllmotCEbusruF,B",3
"TBkgsqvbKbjGxhwlUtU,",20
"uHthhbH aqHA,nAmaauA tjA",5
"UjffAWBiRSPxA,YnjjEAFmVWTbE",24
"YtGiEoNtK,GbOqMwVbS,8",4
qyCmvzDkXZkHhXPVRQL,10
"I AhWiOlleUHchMNHhW,Y QxMyEbbuKXsxCDXx",5
"pZYHCemLA,fPOXSucBQ,16",13
"VUwHTCqJRJuhVCp,BAcNZIwPXPanBIv,",20
"UDAlKtqRFkstuXJ, ZIFqPyvWKpxyzCO,5",1
"tsUfJhQif,mlNyCaJby,19",2
"NUSieVMj,TAYokBS",22
"oSTiGyjMgBhQRX,vZApNfqTnIoXYE,7",4
"abUuLJAbVgNfoTxM,efYyPNEfZkRjsXb",3
"JkqwACcNSnTdgtlHe,Rs",3
"Cvr vLQFUK,Fyu yOTIXN,3",18
"rMbvjUqqcqpMtlR,wRgaoZ",18
"EHiSTRMYHzATmLLfPyPW,NQrBCAVHQiJCvUUoYhY",12
"TutPLPBKPKiusCKiQUe,",24
"ExpelDX,RkcryQK,13",24
"qBJUHBuwC, xIQBOIbdJ,7",13
bwaQZvWTOuOsAPsPGk,6
"JXdmXX,PDjsDD,6",10
NpnTMXirDPufn,17
"Chojt,Jovqa,7",10
"fpLiCzNDlRlwPPuD,nxTqKhVLtZteXXcL,8",13
"waJJq,vzIIp,25",9
cgyEivgN qqrIM,24
"gIqpakF,sUcbm",19
"nvnHyeGJXAg,tbtNekMPDGm,6",20
"kYDeTUdjdwWY,zNStIJsyslLN,15",23
"djJQt,xdDKn,20",20
xMkDwHAFmk,15
"h sueayXcRES xhYk,j uwgca",16
"VUxhRqnMDLvmGymhCIN,YXakUtqPGO",16
"kXihflYLeNkM,jWhgekXKdM",23
"o cOsEyYHYAfYq,s gSw",18
"cqpQLc, xlkLGx,21",22
"AFbkjDAHC,ZEajiCZGB,25",6
"VqPgGyJAlxUdBgaEk,GbArRjULwiFoMrlPv,11",12
"wGUEfQYdw,nXLVwHPun,17",12
gmgTGqCasEsFvcZPEZ,15
"ybpP muqk ,nqeE bjfz ,15",23
"ZQduRP,KBofCA,11",24
"QfDKZvftKOGTZ,GvTAPlvjAEWJP,16",7
"hsbgzNxmWrUnigw,aluzsGqfPkNgbzp,19",17
"CbMFOrgOWmhruUpxV,QpATCfuCK",10
"B LHwtreMVwzHNTRCr,Z JFurpcKTuxFLRPAp,24",9
KhuoEG RXSq,14
uXarhFrOzZBaPo g,21
"DiAWASB,PuMIMEN,12",25
"jCvkuEWPnZXwiga,nGzoyIATrDBa",3
"LrKFSG,JpIDQE,24",19
"IgDGU SOmXfRgVvN,MkHKY WSqBjVkZzR,4",4
"uktRcxe,hxgEpkr,13",17
"HoxpspkEntNPN Tmtgt,GnworojDmsMO",14
"DEQqEBpMpQB,FGSsGDrOrSD,2",16
"AaPHMDHZJ,XxMEJAEWG,23",1
"IhoYrDYxkpdwIrq,AzgQjVQpchvoAji,1",8
"FVWVCSwDlCYEXBci,HXYXEUyFn",9
"eeCctEdCfV,ccAarCbA",2
"iOrDoZFVBo,gMpBmXDTZm,24",4
"zJTqKppRUMixpEKSH,tDNkEjjLOGcrjYEM",24
"VHucNwugPNigLLy,EQdlWfdpYWrpUUh,9",17
"NKEBiWx,MJDAhVw",1
"v AukOXc,x CwmQZe,2",25
"SiPUUccneFoJCw,LbINNvvgxYhCVp,19",6
"CBDpZaiysRlwYFeY,HGIuEfndxW",18
"tVEDAntFQXThhABM,kMVURekWH",25
"EqUrVYSFmCGW,XjNkORLYfVZP,19",9
"fTJHVdCEiZOhdPydaFpe,vJZXLtSUyPExtFotqVfu,",6
"BjidWHSIdZypxhwNdLn,UcbwPALBwSriqapGwEg,19",6
"lqEZQheHDJRUujC,diWRIz",2
"FOhrQAmcUCO,PYrbAKwmEMY,10",13
wwbDcRLVhnGkU,6
"ymdfbpMHiojrGyGHBr,kyprnbYTuavdSkSTNd,12",16
"VuRzGUAehEPFkU,ZyVdKYEilITJoY,4",11
"SqTKNbJ ju,BzC",15
"zYNylXgWrpY n,wVKviUdTomV",4
"PYyXMnly,TCcBQrpc,4",17
"UfzLVFpjB,Whb",2
"yrretpnOORLwCCWBRnc,attgvrpQQ",2
"ZRwxK R lAuS,SKpqD K eTnL,19",23
"riirjC IKkB,neenfY",25
ayCiHnpXjV,17
"ZnGfLmO,OcVuAbD,15",23
"sXZxarAtgxaDeLTk,yDFdgxGzmdgJkRZq",11
"bpmEvzT,uifXosM,19",25
"pXEhhJiiBC,kSZccEddWX,21",3
"YBKiaRL,RUDbtKE,19",18
"xiAnjVRd ,fqIvrDZl ,8",12
"eFINYbM,aBEJUxI,22",20
"kIGZtjkytcuTpKa,hFDWqghvqzrQmHx,2",23
"HNdZb,RXnJl,10",1
"MpAJpKPO,SvGPvQVU,6",9
"UGQUnvAmrQmNHu,VHRVowBnsRnOIv,1",6
"VrijWDyhGjnuNa,",25
"AhHcasbJlOidlOHlRwn,ElLgewfNpSmhpSLpVar,",6
"lMsaMfC,cDjrDwT,17",11
"mEbNzjSDA,fXuGscLWT",16
"eTDzfRmBYmnM,uJTpvHcROcdC,16",5
"kmFsYflNBXTLLgi,jlErXek",3
"ZhnunevBYz,JrxexofLIj,10",6
"sUFDdDANTW ,r",20
"wiWtukFhtCfXmLvePW,amAxyoJlxGjBqPzi",15
"HMGeLZZdKDpPuu VG,CHBzG",14
"qyjvXwHy,jrcoQpAr,19",17
"GlqINtNCs UZcaxRqY,AfkCHnHWm OTwurLkS,20",4
"WoSgeaJRsBgKczOspz,TlPdbxGOpYdHzwLpmw,23",7
xYyjqRXEzEjLmY,19
"iWnrhrl,sGxbrbv,10",12
pGIBRJyedBHqdO,21
"imFubMVqh bMSfPfec,lpIxePYtk ePViSihf,3",25
"sh UlrJEWukthAY,zo BsyQLDbraoHF,7",6
"mNCzYJfqhi,gHWtSDzkbc,20",3
"SpFokUSIYN,DaQzvFD",6
"mSrnvfjEqsxWyadPru,",13
"sZTXTqJFIWPLbjcfwH,bICGCzSORFYUkslofQ,9",5
"GHJVxtJcFpNtiz nl,ZACOqmCvYiGmbs ge,19",4
"XfwRS,IqhCD,1",22
"FWEAPADIR,MDLHWHKPY",1
"SjKlsFCFAOsxWYeJ,QhIjqDADYMqvUWcH,24",5
"kicpaBmBW,pnhufGr",20
"RywPVAoZ,TayRXCqB,2",5
"ViuozjVeg,MzlfqaMv",22
"vzXAnIsQ,cgEHuPzX,7",13
zgfQOMzZUVdwF,9
"BRlAhk,OEyNux,13",24
"TFTZhnCBKK,",1
"GQcQCfmLcrrAvdeFSGQ,CMyMYbiHynnW",1
"mWcmGvq,vFlvPez,9",9
"gGiYLXmqTVpaJFF,tTvLYKzdGIcnWSS,13",17
"ptoYDPtkbX,rvqAFR",9
"jRzjqkhF,hPxhoifD,",4
"YqnWJfzJuIRO H,SkhQDztDoCLI B,20",10
"JfFPnAwXYUzxrLuO,AwWGeRnOPLqoiClF,17",7
"BJzeTmUmPTsEKlKlDD,TBrwLeMeHLkWCdCdV",3
"BnxmvPdybkKy,FrbqzThcfoOc,4",1
"ZQjrtjnogZdn,MDwegwabtMqa,13",17
"tyNFhbUBrbTqe,bgVNpjCJzjBym,8",23
"FrdLPOxy MAmcnve,QcoWA",8
x RgcpEMIGbdRYm,1
"ZGnMt,PWdCj,16",5
"rjZIQQFwyIkXtg,ewMVDDSjlVxKgt,13",19
dQNbKoGLaeMUvP,17
PQYbEK wRCB,5
"mmiUA asadotkbGTosx,aawIO ogorchypUHcgl",21
"vQlmUomadazNxonvvICO,jEzaIcaor",5
"OlUOr,QnWQt,2",10
"UxrXEQuEZjIJhpolh K,DgaGNZdNIsRSqyxuq T,9",8
"lmtSdvFaojbGIVi Cg,delKvnXsgbtYANa Uy,18",20
"bMezHScWi,qBt",18
"ouJHwR FhRPQoa,flA",2
"ptvhTSG v,wacoAZN c,7",2
"UeYQHKpN,T",4
"TKYZJvUCxDQmuJQJ uM,QHVWG",8
"EJaziJNOyPcVq plyU,JOfenOSTdUhAv uqdZ,5",4
"ZOcSXDUtDfJ,FUiYDJ",19
"QWFhSwkm oqLDuoP,GMVxImac egBTkeF,16",17
cjswogahvYWkG ,11
"diWPhMTXFQdUUecXyIPF,bg",8
"nFnrWPitrXvba,lDlpUNgrpVtzy,24",10
"ykxspoqDBxtIXaDVh,",20
"KkPwSeytXNkdcNXZSdRy,W",24
"AIIfHvFTlfXpBjw,QYYvXlVJbvNfR",13
"mPefTv My,vYnoCe Vh,9",14
"cWtVbcyPlCXQ , eYvXdeaRnEZS ,2",20
"nhoJjudg,oipKkveh,1",20
"hAfUF,wPuJU,15",14
"PRctcuI,NParasG,24",3
"wtQvBMtIokHVv,xuRwCNuJpl",10
"GpxIbIyPGotPj,HqyJcJzQHpuQk,1",1
"cfkQkFkdDyJH,mpuAuPunNiTR,10",2
"bKYSNSMUxgLYsF,nWKEZEYGjsXKeR,12",14
"lXRfRCEJTDYjD,dPJx",6
"NkmT LFbhwmkCnIcPlG, DacJ BVrxmcaSdYsFbW,16",22
"vKvrKshph,rGrnGodld,22",23
"kSghlpwDIxKBQ,zHvwaelSXmZQF,15",19
"PoMRu ,RqOTw ,2",1
"Um GbJvZYemwvoRl,As MhPbFEkscbuXr,6",17
"JijeyEohSJLbnbqOw,CbcxrXhaLCEu",10
"ltMLBTqarsdA,jrKJZRoypqbY,24",1
"oUMrPElpAOixD,cIAfD",25
"IaaZVWRz,YqqPLMHp,16",16
"TJmgvowblsloE,YOrlatbgqxqtJ,5",14
"PmCEFK,QnD",13
"OCfrcIsApHkMcJCwnm ,KYbnyEoWlDgIyFYsji ,2",24
"OeBKjZZsJNDfhG,QgDMlBBuLPFhjI,2",17
"kYZqM,nBCtP,3",5
AFODBFElajq,11
"HNcjeVHgojkTsx,IOdkfWI",24
"YTqZkP,FAxGrW,7",25
kfmHZRSdztaou,15
"JzjqlcPWlmiCAb,Q",5
"rHiFiTIpfsLbCb, uKlIlWLsivOeFe,3",15
"kTWWoYMLBTqdYnBVonR,",22
"iyPYxRcrGHycrmF,ukBKjDod",6
"gQHtLdl,mWNzRjr,6",21
"BOFKuLKa,FSJOyPOe,4",21
"o SehP,j N",5
"wpzehsAtL,pisxalTmE,19",13
"GFpvAsQ,VUekPhF,15",18
"TOrwdCzpoaWarYP OFm,LG",25
"haKOCXaQ,tmWAOJmC,12",21
"vqcuPlLXNDvnJnw IAu,z",16
"SrtRwheUdl,KjlJozwMvd,18",15
"exDKMmPiT,jcIPRrUnY,5",9
"HVpqzdkDWah,WKefoszSLp",1
"EmnZZgo,Ckl",4
"EdynCWrAjdEMVW,RqlaPJeNwqRZIJ,13",11
"EelJLkHklo,MmtRTsPstw,8",4
"moLqUnnmG,ceBgKddcW,16",16
"oWnNhPRLdqgdbDHwk,kS",12
"UrewmKhxQNLEsikFcc,LivndByoHECVjzbWt",14
"gsPLqxhCcqKXGlGHRtKl,eqNJovfAaoIVEjEFP",15
"vHioRirHEzWAnaS,lXyeHyhXUpMQdqI,16",10
"dqvH IfTvZ INpr,pchT UrFhL",22
"MMGfhGLAipzLso,J",7
AUZqmkxdjPAmb,21
jsHjFTLHwF,20
"GyhmScfQNL zSauQcxQT,Phq",24
"HeVWSQoVrEAOWNnaK,EbSTPNlSoBXLTKkxH,23",20
"WihZq mdVuKDn,ConFw sjB",14
"aMcqdUh,bNdreVi,1",11
"esplAfuIFzC,aolhWbqEBvY,22",15
"iEZOyV,hDY",16
"hDtksKGjPIOQWf,yUkbjBXaGZFHNw,17",3
"GiwmcerZHrhCk,Jlzpf",25
"cArS PZwtKU,tRiJ GQnkBL,17",21
"oDnzUqKIQgkKuPoOmwn,tIseZvPNVlpPzUtTrb",2
"zDjXJ,nRxLX,14",16
"emtFVZKzPMAeCPcdiVU,xfmYOSDsIFTxVIvwbON,19",4
"tuWgrYvuxYkc,zaCmxEbadEqi,6",13
"MPydyxrHczJdSlzjBYc,ORafaztJebLfUnblDAe,2",22
"CgEOmQvwULCoJaiBH,YcAKiMrsQHYkFweXD,22",10
"ewHUc,btERz,23",8
"zrHcHnFff,xpFaFlDdd,24",5
"bgmBYOkFmH,jouJGWsNuP,8",15
"mKWmdcnoyM,dBNdutefpD,17",2
"vBoRBpYWKqka,wCpSCqZXLrlb,1",3
"ODzEp,XMiNy,9",23
"TP Ptw,LH Hlo,18",6
"nZuwvXpa,iUprqSkv,21",18
"lsdvUv,gnyqPq,21",23
"vYVxRKudUoOiaeUAG,rURtNG",2
nprVqoGIqW LQevey,22
"cqBpbFN WRfDndfuhaCa,nbMam",10
"dPWDCg,aMTAZd,23",2
"ZKmOMataboyI,VGiKIwpwxkuE,22",23
"S NfSJpWEWTtnXPCFSn,L GyLCiPX",15
"LIpYTzylNfEwL,FCjSNtsfHzYqF,",20
"LnNGGaDDEJ,MoOHHbEEFK,1",20
"gSzxc,pBigl,9",3
"eaDuJWj,gcFwLYl,2",13
"V xMdg CJO,I kZqt PWB,13",1
"riZBWmLIsjbQfTvafaVc,izQSNdCZjasHwK",2
"Dnpdkjtpxx,Jtvjqpzv",15
"ncuUUPlxWiupMAH,shzZZUqcBnzuRFM,5",3
"mplfs,beauh,15",6
"hguONlIla,lkySRpMpe,4",6
"LdAPcyJNPnUVZpya,EwTIvrCGIgNOSirt,19",18
"gmpyVDXCxYrm,ouxgDLFKfGzu,8",24
"mWiNV kUY,jTfKS hR",2
PEjboEVFjdQzHgm,13
"mpPXzrFjgUPkKSiMbVd,twWEgyMqnB",5
"cQSjniWOuMnWiC,kYArvqEWcUvEqK,8",9
nKhnYzlLhAHMPa,14
"zqRhwnYnUyN ,fwXnctEtAeT ,6",19
"yUAFlrb,vRXCioy,23",24
"NjrXYcAkDu,HdlRSwU",6
"SfqnNFhhfIj,Wj",23
"o zHF,w hPN,8",7
"F Pkyjm bszyFnqWg,I Snbmp ",4
"NmOCNpSvNixShFhno,LkMALnQtLgvQfDflm,24",25
"vOIDFcJOUcaFAxclV,hAUPRoVAGomRMjo",16
karAtuYrfMQp,18
"x yzbLwYJe,u vwyItVGb,23",22
"CMDgaM,TDUxrD,17",12
"OtOXNZuUJB,AfAJ",16
kxyqhglAzoaT,23
"mCtjlIv,dTkacZm,17",2
"O Ipq,H Bij,19",23
"kTNIrfhVF,x",19
DiDANLgjvwCCGTDNr,5
"M uilGRp,D lzcXIg,17",3
"IdCFfZrl,ToNQqKcw,11",14
"gmPhPasRCMR,vbEwEphGR",2
"dy hbr NQBO,cx gaq MPAN,2",20
"BkozMTyfCGfKA,GpteRYdkHLk",7
"TEAPvlwvfkvdjH D,FQMBhxihrwhpvT P,12",7
"FKULPzX,QVFWAkI,11",15
"CaKqIpQc szsMtYQwf R,DbLrJqRd tat",25
"DGIuYtr ,X",20
"DXCNvxXZDGtHJQ pRqgv,XRWHprRTXAnBD",10
